Municipio,CNPJ,IBGE
Altamira do Paraná,78.069.143/0001-47,4100459
Alto Paraíso,95.640.736/0001-30,4128625
Alto Paraná,76.279.967/0001-16,4100608
Alto Piquiri,76.247.352/0001-08,4100707
Altônia,81.478.059/0001-91,4100509
Amaporã,75.475.038/0001-10,4100905
Ângulo,95.642.286/0001-15,4101150
Araruna,75.359.760/0001-99,4101705
Astorga,75.743.377/0001-30,4102109
Atalaia,75.731.018/0001-62,4102208
Barbosa Ferraz,76.950.062/0001-26,4102505
Boa Esperança,76.217.017/0001-67,4103008
Bom Sucesso,75.771.261/0001-04,4103206
Cafezal do Sul,95.640.652/0001-05,4103479
Cambira,75.771.287/0001-52,4103800
Campina da Lagoa,76.950.070/0001-72,4103909
Campo Mourão,75.904.524/0001-06,4104303
Cianorte,76.309.806/0001-28,4105508
Cidade Gaúcha,75.377.200/0001-67,4105607
Colorado,76.970.326/0001-03,4105904
Corumbataí do Sul,80.888.662/0001-89,4106555
Cruzeiro do Oeste,76.381.854/0001-27,4106605
Cruzeiro do Sul,75.731.034/0001-55,4106704
Diamante do Norte,76.972.082/0001-06,4107108
Douradina,78.200.110/0001-94,4107256
Doutor Camargo,76.282.714/0001-00,4107306
Engenheiro Beltrão,76.950.039/0001-31,4107504
Esperança Nova,01.612.269/0001-91,4107520
Farol,95.640.124/0001-48,4107553
Fênix,76.950.021/0001-30,4107702
Floraí,75.731.000/0001-60,4107801
Floresta,76.282.706/0001-55,4107900
Flórida,75.772.400/0001-14,4108106
Francisco Alves,77.356.665/0001-67,4108320
Goioerê,78.198.975/0001-63,4108601
Guairaçá,76.238.443/0001-87,4108908
Guaporema,75.378.844/0001-70,4109104
Icaraíma,76.247.337/0001-60,4109906
Iguaraçu,75.772.525/0001-44,4110003
Inajá,76.970.318/0001-67,4110300
Indianópolis,75.798.355/0001-77,4110409
Iporã,75.738.484/0001-70,4110607
Iretama,76.950.088/0001-74,4110805
Itaguajé,76.970.359/0001-53,4110904
Itambé,76.282.698/0001-47,4111100
Itaúna do Sul,75.458.836/0001-33,4111308
Ivaté,95.640.553/0001-15,4111555
Ivatuba,76.285.337/0001-54,4111605
Jandaia do Sul,75.771.204/0001-25,4112108
Janiópolis,76.402.882/0001-83,4112207
Japurá,75.788.349/0001-39,4112405
Jardim Olinda,76.970.383/0001-92,4112603
Juranda,78.196.755/0001-09,4112959
Jussara,75.789.552/0001-20,4113007
Kaloré,75.771.238/0001-10,4113106
Loanda,76.972.074/0001-51,4113502
Lobato,76.970.367/0001-08,4113601
Luiziana,80.888.688/0001-27,4113734
Mamborê,75.368.928/0001-22,4114005
Mandaguaçu,76.285.329/0001-08,4114104
Mandaguari,76.285.345/0001-09,4114203
Maria Helena,76.247.386/0001-00,4114708
Marialva,76.282.680/0001-45,4114807
Marilena,75.971.010/0001-73,4115002
Mariluz,76.404.136/0001-29,4115101
Maringá,76.282.656/0001-06,4115200
Marumbi,75.771.246/0001-66,4115507
Mirador,75.475.442/0001-93,4115903
Moreira Sales,76.217.025/0001-03,4116109
Munhoz de Melo,75.352.062/0001-61,4116307
Nossa Senhora das Graças,76.970.300/0001-65,4116406
Nova Aliança do Ivaí,76.413.061/0001-42,4116505
Nova Cantu,77.845.394/0001-03,4116802
Nova Esperança,75.730.994/0001-09,4116901
Nova Londrina,81.044.984/0001-04,4117107
Nova Olímpia,75.799.577/0001-04,4117206
Ourizona,76.282.672/0001-07,4117404
Paiçandu,76.282.664/0001-52,4117503
Paraíso do Norte,75.476.556/0001-58,4118006
Paranacity,76.970.334/0001-50,4118105
Paranapoema,76.970.391/0001-39,4118303
Paranavaí,76.977.768/0001-81,4118402
Peabiru,75.370.148/0001-17,4118808
Perobal,01.612.444/0001-40,4118857
Pérola,81.478.133/0001-70,4118907
Pitangueiras,95.543.427/0001-42,4119657
Planaltina do Paraná,75.461.442/0001-34,4119707
Porto Rico,75.461.970/0001-93,4120200
Presidente Castelo Branco,76.279.959/0001-70,4120408
Quarto Centenário,01.619.104/0001-41,4120655
Querência do Norte,76.973.692/0001-16,4121000
Quinta do Sol,76.950.047/0001-88,4121109
Rancho Alegre D'Oeste,95.640.132/0001-94,4121356
Roncador,75.371.401/0001-57,4122503
Rondon,75.380.071/0001-66,4122602
Santa Cruz de Monte Castelo,75.462.820/0001-02,4123303
Santa Fé,76.291.418/0001-67,4123402
Santa Inês,78.092.293/0001-71,4123600
Santa Isabel do Ivaí,76.974.823/0001-80,4123709
Santa Mônica,95.641.916/0001-37,4123956
Santo Antônio do Caiuá,75.483.230/0001-58,4124202
Santo Inácio,76.970.375/0001-46,4124509
São Carlos do Ivaí,75.498.576/0001-20,4124608
São João do Caiuá,76.238.435/0001-30,4124905
São Jorge do Ivaí,76.282.649/0001-04,4125308
São Jorge do Patrocínio,77.870.475/0001-63,4125357
São Manoel do Paraná,80.909.617/0001-63,4125555
São Pedro do Ivaí,75.771.311/0001-53,4125803
São Pedro do Paraná,76.975.259/0001-10,4125902
São Tomé,75.381.178/0001-29,4126108
Sarandi,78.200.482/0001-10,4126256
Tamboara,76.978.519/0001-00,4126702
Tapejara,76.247.345/0001-06,4126801
Tapira,75.801.738/0001-57,4126900
Terra Boa,75.793.786/0001-40,4127205
Terra Rica,76.978.881/0001-81,4127304
Tuneiras do Oeste,76.247.329/0001-13,4127908
Ubiratã,76.950.096/0001-10,4128005
Umuarama,76.247.378/0001-56,4128104
Uniflor,76.279.975/0001-62,4128302
Xambrê,76.247.360/0001-54,4128807
